MONTH,rolling_total
2020-03,9628
2020-04,36338
2020-05,62142
2020-06,69769
2020-07,76881
2020-08,78850
2020-09,79459
2020-10,79909
2020-11,80146
2020-12,80998
2021-01,87811
2021-02,88679
2021-03,88726
2021-04,88987
2021-06,91421
2021-07,91501
2021-08,93368
2021-09,93529
2021-10,93551
2021-11,95621
2021-12,96821
2022-01,97331
2022-02,101016
2022-03,106730
2022-04,110858
2022-05,123743
2022-06,141137
2022-07,157360
2022-08,170415
2022-09,176296
2022-10,193702
2022-11,247153
2022-12,257482
2023-01,342196
2023-02,378689
2023-03,383159
